sample	dataset	read1	read2	layout	mapper	threads	strandedness	star.twopassMode	hisat2.score_min
SRR22678951_star	mouse_bulk_chr19	data/input/fastq_small/SRR22678951_chr19_1.fastq.gz	data/input/fastq_small/SRR22678951_chr19_2.fastq.gz	PE	STAR	8	RF	Basic	L,0,-0.6
SRR22678951_hisat2	mouse_bulk_chr19	data/input/fastq_small/SRR22678951_chr19_1.fastq.gz	data/input/fastq_small/SRR22678951_chr19_2.fastq.gz	PE	HISAT2	8	RF	Basic	L,0,-0.6
SRR22678952_star	mouse_bulk_chr19	data/input/fastq_small/SRR22678952_chr19_1.fastq.gz	data/input/fastq_small/SRR22678952_chr19_2.fastq.gz	PE	STAR	8	RF	Basic	L,0,-0.6
SRR22678952_hisat2	mouse_bulk_chr19	data/input/fastq_small/SRR22678952_chr19_1.fastq.gz	data/input/fastq_small/SRR22678952_chr19_2.fastq.gz	PE	HISAT2	8	RF	Basic	L,0,-0.6
SRR22678953_star	mouse_bulk_chr19	data/input/fastq_small/SRR22678953_chr19_1.fastq.gz	data/input/fastq_small/SRR22678953_chr19_2.fastq.gz	PE	STAR	8	RF	Basic	L,0,-0.6
SRR22678953_hisat2	mouse_bulk_chr19	data/input/fastq_small/SRR22678953_chr19_1.fastq.gz	data/input/fastq_small/SRR22678953_chr19_2.fastq.gz	PE	HISAT2	8	RF	Basic	L,0,-0.6
SRR22678954_star	mouse_bulk_chr19	data/input/fastq_small/SRR22678954_chr19_1.fastq.gz	data/input/fastq_small/SRR22678954_chr19_2.fastq.gz	PE	STAR	8	RF	Basic	L,0,-0.6
SRR22678954_hisat2	mouse_bulk_chr19	data/input/fastq_small/SRR22678954_chr19_1.fastq.gz	data/input/fastq_small/SRR22678954_chr19_2.fastq.gz	PE	HISAT2	8	RF	Basic	L,0,-0.6
SRR22678955_star	mouse_bulk_chr19	data/input/fastq_small/SRR22678955_chr19_1.fastq.gz	data/input/fastq_small/SRR22678955_chr19_2.fastq.gz	PE	STAR	8	RF	Basic	L,0,-0.6
SRR22678955_hisat2	mouse_bulk_chr19	data/input/fastq_small/SRR22678955_chr19_1.fastq.gz	data/input/fastq_small/SRR22678955_chr19_2.fastq.gz	PE	HISAT2	8	RF	Basic	L,0,-0.6
SRR22678956_star	mouse_bulk_chr19	data/input/fastq_small/SRR22678956_chr19_1.fastq.gz	data/input/fastq_small/SRR22678956_chr19_2.fastq.gz	PE	STAR	8	RF	Basic	L,0,-0.6
SRR22678956_hisat2	mouse_bulk_chr19	data/input/fastq_small/SRR22678956_chr19_1.fastq.gz	data/input/fastq_small/SRR22678956_chr19_2.fastq.gz	PE	HISAT2	8	RF	Basic	L,0,-0.6
SRR22678957_star	mouse_bulk_chr19	data/input/fastq_small/SRR22678957_chr19_1.fastq.gz	data/input/fastq_small/SRR22678957_chr19_2.fastq.gz	PE	STAR	8	RF	Basic	L,0,-0.6
SRR22678957_hisat2	mouse_bulk_chr19	data/input/fastq_small/SRR22678957_chr19_1.fastq.gz	data/input/fastq_small/SRR22678957_chr19_2.fastq.gz	PE	HISAT2	8	RF	Basic	L,0,-0.6
SRR22678958_star	mouse_bulk_chr19	data/input/fastq_small/SRR22678958_chr19_1.fastq.gz	data/input/fastq_small/SRR22678958_chr19_2.fastq.gz	PE	STAR	8	RF	Basic	L,0,-0.6
SRR22678958_hisat2	mouse_bulk_chr19	data/input/fastq_small/SRR22678958_chr19_1.fastq.gz	data/input/fastq_small/SRR22678958_chr19_2.fastq.gz	PE	HISAT2	8	RF	Basic	L,0,-0.6
SRR22678959_star	mouse_bulk_chr19	data/input/fastq_small/SRR22678959_chr19_1.fastq.gz	data/input/fastq_small/SRR22678959_chr19_2.fastq.gz	PE	STAR	8	RF	Basic	L,0,-0.6
SRR22678959_hisat2	mouse_bulk_chr19	data/input/fastq_small/SRR22678959_chr19_1.fastq.gz	data/input/fastq_small/SRR22678959_chr19_2.fastq.gz	PE	HISAT2	8	RF	Basic	L,0,-0.6
SRR22678960_star	mouse_bulk_chr19	data/input/fastq_small/SRR22678960_chr19_1.fastq.gz	data/input/fastq_small/SRR22678960_chr19_2.fastq.gz	PE	STAR	8	RF	Basic	L,0,-0.6
SRR22678960_hisat2	mouse_bulk_chr19	data/input/fastq_small/SRR22678960_chr19_1.fastq.gz	data/input/fastq_small/SRR22678960_chr19_2.fastq.gz	PE	HISAT2	8	RF	Basic	L,0,-0.6
